name,player_link,school,ast_per_g,fg3_pct,ft_pct,g_col,mp_per_g,n_season,pts_per_g,trb_per_g
Trent Frazier,/cbb/players/trent-fraizer-1.html,Illinois,4.1,.328,.833,31,34.7,5.0,11.6,2.8
Jacob Grandison,/cbb/players/jacob-grandison-1.html,Illinois,2.3,.410,.824,30,25.0,5.0,9.6,3.8
Coleman Hawkins,/cbb/players/coleman-hawkins-1.html,Illinois,1.5,.292,.650,33,19.0,2.0,5.9,4.3
Da'Monte Williams,/cbb/players/demonte-williams-1.html,Illinois,2.5,.325,.531,33,28.8,5.0,3.9,5.0
Luke Goode,/cbb/players/luke-goode-1.html,Illinois,0.5,.372,.667,28,8.9,1.0,2.0,1.8
Omar Payne,/cbb/players/omar-payne-1.html,Illinois,0.2,,.536,32,7.4,3.0,1.8,1.7
Malachi Smith,/cbb/players/malachi-smith-1.html,Chattanooga,3.0,.407,.827,35,35.4,4.0,19.9,6.7
David Jean-Baptiste,/cbb/players/david-jean-baptiste-1.html,Chattanooga,2.2,.368,.862,33,33.1,5.0,14.3,2.5
Darius Banks,/cbb/players/darius-banks-1.html,Chattanooga,2.6,.310,.736,35,32.1,5.0,8.3,4.9
Silvio De Sousa,/cbb/players/silvio-desousa-1.html,Chattanooga,0.9,.263,.648,28,20.0,3.0,11.0,6.9
A.J. Caldwell,/cbb/players/aj-caldwell-1.html,Chattanooga,2.2,.339,.731,35,28.5,5.0,4.9,3.1
Avery Diggs,/cbb/players/avery-diggs-1.html,Chattanooga,0.4,.167,.591,35,9.8,5.0,4.6,2.3
KC Hankton,/cbb/players/kc-hankton-1.html,Chattanooga,0.7,.250,.556,29,16.8,4.0,4.5,2.9
Grant Ledford,/cbb/players/grant-ledford-1.html,Chattanooga,0.5,.343,.571,33,14.8,3.0,4.9,2.0
Josh Ayeni,/cbb/players/josh-ayeni-1.html,Chattanooga,0.3,.313,.839,35,10.3,6.0,4.2,2.5
David Roddy,/cbb/players/david-roddy-1.html,Colorado State,2.9,.438,.691,31,32.9,3.0,19.2,7.5
Isaiah Stevens,/cbb/players/isaiah-stevens-1.html,Colorado State,4.7,.377,.902,31,34.7,3.0,14.7,3.2
John Tonje,/cbb/players/john-tonje-1.html,Colorado State,0.9,.364,.821,30,25.3,3.0,9.1,3.0
Kendle Moore,/cbb/players/kendle-moore-1.html,Colorado State,1.9,.319,.810,29,25.0,4.0,6.5,2.6
Chandler Jacobs,/cbb/players/chandler-jacobs-1.html,Colorado State,0.7,.270,.841,31,20.2,5.0,5.7,4.1
Dischon Thomas,/cbb/players/dischon-thomas-1.html,Colorado State,1.0,.414,.872,31,16.1,3.0,5.7,3.1
